
Image Name                     PID Session Name        Session#    Mem Usage
AUEPUF.exe                    8032 Console                    1      8,784 K
svchost.exe                   1156 Console                    1     23,476 K
DSATray.exe                   7292 Console                    1     48,152 K
BraveUpdate.exe               8132 Services                   0         96 K
svchost.exe                   8256 Services                   0     18,076 K
EpicWebHelper.exe             9356 Console                    1     37,776 K
cncmd.exe                    10104 Console                    1      6,064 K
AMDRSServ.exe                 7676 Console                    1    166,492 K
conhost.exe                   1248 Services                   0     10,772 K
esrv.exe                     10164 Console                    1     39,096 K
steamwebhelper.exe           10136 Console                    1    148,784 K
steamwebhelper.exe            7800 Console                    1     14,656 K
steamwebhelper.exe           10004 Console                    1    149,204 K
steamwebhelper.exe            8180 Console                    1     28,696 K
steamservice.exe              8748 Services                   0     15,000 K
amdow.exe                     3232 Console                    1      2,004 K
EpicWebHelper.exe             8840 Console                    1     30,768 K
esrv_svc.exe                 11164 Services                   0     53,984 K
svchost.exe                   6216 Services                   0     11,232 K
WhatsApp.exe                  8592 Console                    1    103,452 K
steamwebhelper.exe            5316 Console                    1    358,032 K
GoogleCrashHandler.exe        9256 Services                   0        168 K
steamwebhelper.exe            7460 Console                    1     52,044 K
GoogleCrashHandler64.exe     10824 Services                   0         96 K
SgrmBroker.exe                5940 Services                   0      8,012 K
svchost.exe                   9336 Services                   0     23,628 K
svchost.exe                   8376 Services                   0      7,820 K
svchost.exe                  10884 Services                   0     11,040 K
UserOOBEBroker.exe            1264 Console                    1      9,504 K
RuntimeBroker.exe             8444 Console                    1     23,552 K
ShellExperienceHost.exe      11024 Console                    1     61,728 K
RuntimeBroker.exe             8756 Console                    1     23,752 K
svchost.exe                  10448 Services                   0      5,868 K
svchost.exe                   8212 Services                   0      8,848 K
svchost.exe                   7424 Services                   0      7,672 K
taskhostw.exe                 2828 Console                    1     23,560 K
svchost.exe                   6820 Services                   0     10,300 K
PhoneExperienceHost.exe      13288 Console                    1    145,876 K
Video.UI.exe                 13140 Console                    1      2,672 K
GameBar.exe                    108 Console                    1      2,736 K
GameBarFTServer.exe           9740 Console                    1     14,740 K
RuntimeBroker.exe            14272 Console                    1     13,752 K
svchost.exe                   9976 Services                   0     16,532 K
RuntimeBroker.exe             5780 Console                    1      8,072 K
svchost.exe                  10360 Services                   0     10,632 K
WmiPrvSE.exe                 11360 Services                   0 
