
Image Name                           PID   Session Name     Session#    Mem Usage
svchost.exe                         3804   Services                0      6564 KB
xtuservice.exe                      3792   Services                0     59620 KB
spoolsv.exe                         3784   Services                0     15344 KB
startmenuexperiencehost.e           3708   Console                 1     68996 KB
searchprotocolhost.exe              3680   Services                0     11116 KB
svchost.exe                         3664   Services                0     14556 KB
msedge.exe                          3656   Console                 1     33032 KB
rtkbtmanserv.exe                    3580   Services                0      7004 KB
svchost.exe                         3560   Services                0     19508 KB
svchost.exe                         3484   Services                0      7636 KB
svchost.exe                         3348   Services                0     10248 KB
svchost.exe                         3340   Services                0      6948 KB
svchost.exe                         3332   Services                0      9200 KB
amdow.exe                           3232   Console                 1      2004 KB
nissrv.exe                          3224   Services                0     12500 KB
ravbg64.exe                         3192   Console                 1     16096 KB
rtkaudioservice64.exe               3140   Services                0      9460 KB
svchost.exe                         3064   Services                0     14492 KB
svchost.exe                         2996   Services                0      7388 KB
svchost.exe                         2988   Services                0      8364 KB
igfxcuiservice.exe                  2924   Services                0      9888 KB
memorycompression                   2876   Services                0     38352 KB
svchost.exe                         2848   Services                0      8508 KB
taskhostw.exe                       2828   Console                 1     23560 KB
svchost.exe                         2764   Services                0      5948 KB
svchost.exe                         2728   Services                0    118352 KB
atieclxx.exe                        2708   Console                 1     12396 KB
svchost.exe                         2696   Services                0      7900 KB
wudfhost.exe                        2676   Services                0      7452 KB
svchost.exe                         2588   Services                0     17920 KB
svchost.exe                         2580   Services                0     12044 KB
runtimebroker.exe                   2516   Console                 1     34476 KB
svchost.exe                         2472   Services                0     10696 KB
svchost.exe                         2360   Services                0      8464 KB
tasklist.exe                        2348   Console                 1      9600 KB
svchost.exe                         2332   Services                0     12700 KB
svchost.exe                         2316   Services                0     23988 KB
auepmaster.exe                      2216   Services                0     26608 KB
svchost.exe                         2080   Services                0      7988 KB
atiesrxx.exe                        2072   Services                0      6452 KB
amdfendrsr.exe                      2064   Services                0      7996 KB
svchost.exe                         2000   Services                0      9904 KB
svchost.exe                         1904   Services                0      7328 KB
svchost.exe                         1852   Services                0     10120 KB
taskhostw.exe                       1748   Console                 1     19660 KB
svchost.exe                         1680   Services                0     19568 KB
msedge.exe                          1656   Console                 1      8160 KB
svchost.exe                         1636   Services                0      9092 KB
svchost.exe                         1612   Services                0     11920 KB
svchost.exe                         1584   Services                0     14112 KB
svchost.exe                         1568   Services                0     15892 KB
conhost.exe                         1532   Console                 1     16536 KB
svchost.exe                         1488   Services                0     12200 KB
svchost.exe                         1480   Services                0     10708 KB
svchost.exe                         1404   Services                0      6220 KB
svchost.exe                         1380   Services                0     33300 KB
igfxhk.exe                          1308   Console                 1     10388 KB
dwm.exe                             1284   Console                 1     72548 KB
useroobebroker.exe                  1264   Console                 1      9504 KB
conhost.exe                         1248   Services                0     10772 KB
svchost.exe                         1208   Services                0      8940 KB
svchost.exe                         1156   Console                 1     23476 KB
svchost.exe                         1140   Services                0     15888 KB
fontdrvhost.exe                     1032   Services                0      3900 KB
fontdrvhost.exe                     1028   Console                 1     14092 KB
lsass.exe                           1004   Services                0     21856 KB
winlogon.exe                         944   Console                 1     12312 KB
services.exe                         908   Services                0     14364 KB
wininit.exe                          856   Services                0      7156 KB
csrss.exe                            836   Console                 1      6220 KB
svchost.exe                          828   Services                0     34252 KB
csrss.exe                            716   Services                0      5764 KB
wudfhost.exe                         700   Services                0     18112 KB
smss.exe                             452   Services                0      1128 KB
igfxem.exe                           288   Console                 1     13268 KB
gamebar.exe                          108   Console                 1      2736 KB
registry                             100   Services                0     19860 KB
system                                 4   Services                0      5408 KB
systemidleprocess                      0   Services                0         8 KB
